ID,Title,Volume,Author,Source ID
[P000411](https://github.com/OpenPecha/P000411),དགེ་ལྡན་མཁས་གྲུབ་དག་གི་རྫོགས་སྐོར་ཕྱོགས་བསྒྲིགས།,,,bdr:W1KG1629
[P000412](https://github.com/OpenPecha/P000412),རྒྱ་གཞུང་སྐོར་གྱི་ཚད་མ་ཕྱོགས་བསྒྲིགས།,,,bdr:W1KG4244
[P000413](https://github.com/OpenPecha/P000413),བཀྲ་ཤིས་ལྷུན་པོའི་ཞལ་འདོན་ཆོས་སྤྱོད་རབ་གསལ།,,,bdr:W1KG2788
[P000414](https://github.com/OpenPecha/P000414),དྲང་ངེས་ལེགས་བཤད་སྙིང་པོའི་དཀའ་འགྲེལ་,,,bdr:W1CZ1982
[P000415](https://github.com/OpenPecha/P000415),ཐུའུ་བཀྭན་བློ་བཟང་ཆོས་ཀྱི་ཉི་མའི་གསུང་མགུར་བསླབ་བྱ་དང་ཆབ་ཤོག,,,bdr:W1AC289
[P000416](https://github.com/OpenPecha/P000416),མི་ཕམ་གསུང་འབུམ་ལས་གཞུང་འགྲེལ་སྐོར།,,,bdr:W1PD76231
[P000417](https://github.com/OpenPecha/P000417),བོད་ཀྱི་རྩོམ་ལུས་རྣམ་བཤད,,,bdr:W00KG0619
[P000418](https://github.com/OpenPecha/P000418),རྩ་རྒྱུད་རྟོག་བདུན་སོགས།,,,bdr:W1KG22377
[P000419](https://github.com/OpenPecha/P000419),ནག་རྩིས་རྡེལ་འགྲེམ་འབྲས་བཤད།,,,bdr:W1KG21818
[P000420](https://github.com/OpenPecha/P000420),རྫོགས་པ་ཆེན་པོ་ཡེ་ཤེས་བླ་མའི་སྤྱི་དོན་སྙིང་ཐིག་མ་བུའི་ལྡེ་མིག་ཀུན་བཟང་ཐུགས་ཀྱི་ཊི་ཀ,,,bdr:W1KG13603
[P000421](https://github.com/OpenPecha/P000421),བྱ་རྒྱུད་དོན་གསལ་མཁས་པའི་དགའ་སྟོན།,,,bdr:W1KG14136
[P000422](https://github.com/OpenPecha/P000422),འཁོར་ལོ་སྡོམ་པའི་མངོན་རྟོགས་ནག་འགྲོས་སུ་བཀོད་པ་སོགས།,,,bdr:W4CZ74360
[P000423](https://github.com/OpenPecha/P000423),འཕྲོད་བསྟེན་གྱི་རྒྱུན་ཤེས་ཀློག་དེབ།,,,bdr:W8LS20320
[P000424](https://github.com/OpenPecha/P000424),བྱང་ཆུབ་ལམ།,,,bdr:W3CN4982
[P000425](https://github.com/OpenPecha/P000425),བདེ་མཆོག་ལཱུ་ཨི་པའི་ལུགས་ཀྱི་བསྐྱེད་རྫོགས་དམར་ཁྲིད,,,bdr:W2CZ5668
[P000426](https://github.com/OpenPecha/P000426),རང་བཞིན་སློབ་གསོའི་མན་ངག,,,bdr:W3PD234
[P000427](https://github.com/OpenPecha/P000427),གཞུང་ལམ་སྐོར་གྱི་ཀྲུང་ཧྭ་མི་དམངས་སྤྱི་མཐུན་རྒྱལ་ཁབ་ཀྱི་བཅའ་ཁྲིམས།,,,bdr:W8LS18844
[P000428](https://github.com/OpenPecha/P000428),ཁྲོ་ཕུ་ལོ་ཙཱ་བ་བྱམས་པ་དཔལ་གྱི་རང་རྣམ།,,,bdr:W1KG13616
[P000429](https://github.com/OpenPecha/P000429),དམངས་ཁྲིམས་བསླབ་དེབ།,,,bdr:W2PD17435
[P000430](https://github.com/OpenPecha/P000430),ཕ་དམ་པ་སངས་རྒྱས་དང་མ་ཅིག་ལབ་སྒྲོན་གྱི་རྣམ་ཐར།,,,bdr:W3CN4777
[P000431](https://github.com/OpenPecha/P000431),ལོ་ཙཱ་བ་རིན་ཆེན་བཟང་པོའི་རྣམ་ཐར།,,,bdr:W4CZ1547
[P000432](https://github.com/OpenPecha/P000432),ས་སྐྱའི་མཁས་གྲུབ་ཆེན་པོ་ཁག་གསུམ་གྱི་རྣམ་ཐར།,,,bdr:W8LS20730
[P000433](https://github.com/OpenPecha/P000433),གསུང་འབུམ། ཀུན་དགའ་དཔལ་འབྱོར,,,bdr:W10954
[P000434](https://github.com/OpenPecha/P000434),ནགས་ཀློང་ཁུ་བྱུག་འདུ་གནས,,,bdr:W2DB4593
[P000435](https://github.com/OpenPecha/P000435),བྱང་ཆུབ་སེམས་དཔའ་རྟག་ངུའི་རྟོགས་བརྗོད་སྙན་དངགས་དཔག་བསམ་གྱི་ལྗོན་པ,,,bdr:W20390
[P000436](https://github.com/OpenPecha/P000436),དམངས་ཁྲོད་རྩོམ་རིག་རྣམ་བཤད།,,,bdr:W1KG24862
[P000437](https://github.com/OpenPecha/P000437),མཁས་དབང་ཚུལ་ཁྲིམས་བློ་གྲོས་ཀྱི་བཀའ་སློབ།,,,bdr:W3CN5481
[P000438](https://github.com/OpenPecha/P000438),གསུང་འབུམ། འཇིགས་མེད་ཕུན་ཚོགས་འབྱུང་གནས,,,bdr:W00KG03976
[P000439](https://github.com/OpenPecha/P000439),ཤར་འཛམ་ཐང་པ་ངག་དབང་བློ་གྲོས་གྲགས་པའི་རྣམ་ཐར།,,,bdr:W8LS19000
[P000440](https://github.com/OpenPecha/P000440),འདས་པའི་ལོ་ཟླ།,,,bdr:W3CN4942
[P000441](https://github.com/OpenPecha/P000441),རྔ་བ་ཁུལ་ས་གནས་ལོ་རྒྱུས།（རྒྱ་ཡིག,,,bdr:W1PD90019
[P000442](https://github.com/OpenPecha/P000442),མངོན་བརྗོད་ཀྱི་འགྲེལ་པ་མཐོང་བ་དོན་གསལ།,,,bdr:W1KG14588
[P000443](https://github.com/OpenPecha/P000443),ཐར་པ་ཆེན་པོའི་མདོ།（སོག་ཡིག）,,,bdr:W2EE7
[P000444](https://github.com/OpenPecha/P000444),སློབ་གཞི་འགྲེལ་བརྗོད་ངོ་མཚར་འཕྲུལ་གྱི་ལྡེ་མིག ༼ལོ་རིམ་དྲུག་པའི་དེབ་སྟོད་ཆ།༽,,,bdr:W3CN6721
[P000445](https://github.com/OpenPecha/P000445),བོད་ཀྱི་མི་སྣ་གྲགས་ཅན་གྱི་གཏམ་རྒྱུད། ༼༡༽,,,bdr:W3CN7741
[P000446](https://github.com/OpenPecha/P000446),གསུང་འབུམ། བློ་བཟང་བསམ་གཏན།,,,bdr:W8LS18350
[P000447](https://github.com/OpenPecha/P000447),ཆོས་བཤད་གཞན་ཕན་ཟླ་བ།,,,bdr:W6472
[P000448](https://github.com/OpenPecha/P000448),མཁས་འཇུག་གི་མཆན་འགྲེལ་ལེགས་བཤད་སྣང་བའི་འོད་ཟེར་རལ་གྲི་དང་ཨུཏྤལའི་སྐོར། ,,,bdr:W8LS20768
[P000449](https://github.com/OpenPecha/P000449),རྩེད་ཆས་ཀུན་དགའ་ནོར་བུའི་བང་མཛོད,,,bdr:W1KG6082
[P000450](https://github.com/OpenPecha/P000450),བརྡ་སྤྲོད་བློ་གསལ་དགའ་སྟོན,,,bdr:W22007
[P000451](https://github.com/OpenPecha/P000451),ཤེར་ཕྱིན་མངོན་རྟོགས་རྒྱན་འགྲེལ་ཚིག་དོན་སྙིང་པོ་གསལ་བའི་མེ་ལོང་,,,bdr:W1KG1084
[P000452](https://github.com/OpenPecha/P000452),ཡིད་བཞིན་མཛོད་ཀྱི་འགྲེལ་པ་པདྨ་དཀར་པོ,,,bdr:W00KG02677
[P000453](https://github.com/OpenPecha/P000453),འབོ་གངས་དཀར་རྣམ་ཐར།,,,bdr:W19829
[P000454](https://github.com/OpenPecha/P000454),དམ་པའི་ཆོས་མངོན་པ་ཀུན་ལས་བཏུས་པའི་རྒྱ་ཆེར་འགྲེལ་པ།,,,bdr:W3CN7871
[P000455](https://github.com/OpenPecha/P000455),ཁང་དཀར་ཚུལ་ཁྲིམས་སྐལ་བཟང་གི་གསུང་རྩོམ་ཕྱོགས་བསྒྲིགས།,,,bdr:W00KG09980
[P000456](https://github.com/OpenPecha/P000456),གཞི་ལམ་འབྲས་བུའི་སྨོན་ལམ་གྱི་དོན་གསལ་བར་བྱེད་པ་ཀུན་ཏུ་བཟང་པོའི་ཞལ་ལུང་།,,,bdr:W28811
[P000457](https://github.com/OpenPecha/P000457),སྔ་འགྱུར་བཀའ་མའི་ཡིག་རྙིང་ཕྱོགས་བསྡུས།,,,bdr:W3CN53
[P000458](https://github.com/OpenPecha/P000458),གུང་ཐང་པའི་ཤེས་རབ་སྙིང་པོའི་སྔགས་ཀྱི་རྣམ་བཤད་དང་ཅོ་ནེ་བླ་མ་བློ་བཟང་རྒྱ་མཚོའི་ལྟ་མགུར་སོགས,,,bdr:W1CZ2398
[P000459](https://github.com/OpenPecha/P000459),རྡོ་རྗེ་ཉི་མའི་གནས་ཡིག་གསང་བའི་དཀར་ཆག,,,bdr:W27876
[P000460](https://github.com/OpenPecha/P000460),དཔལ་སྤུངས་ཆོས་སྤྱོད།,,,bdr:W3CN641
[P000461](https://github.com/OpenPecha/P000461),རྟགས་འཇུག་གི་དགོངས་འགྲེལ་ཀེ་ཏ་ཀའི་གན་མཛོད།,,,bdr:W18300
[P000462](https://github.com/OpenPecha/P000462),འཕགས་པ་མཚན་ཡང་དག་པར་བརྗོད་པའི་མཚན་གྱི་སྔགས་དོན་གཟིགས་པའི་རྣམ་པར་བཤད་པ,,,bdr:W00KG01602
[P000463](https://github.com/OpenPecha/P000463),དངོས་གཞིའི་ཟིན་བྲིས་བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མེ།,,,bdr:W8LS19449
[P000464](https://github.com/OpenPecha/P000464),བོད་རིགས་ཀྱི་གཏམ་དཔེ། ༼བོད་རྒྱ་ཤན་སྦྱར།༽,,,bdr:W1PD159391
[P000465](https://github.com/OpenPecha/P000465),གསོ་རིག་གཅེས་བཏུས་རིན་ཆེན་ཕྲེང་བ,,,bdr:W21588
[P000466](https://github.com/OpenPecha/P000466),ཐོག་ཁང་དམར་པོའི་རྨི་ལམ།,,,bdr:W21765
[P000467](https://github.com/OpenPecha/P000467),བོད་དབྱིན་ཚིག་མཛོད།,,,bdr:W1KG22690
[P000468](https://github.com/OpenPecha/P000468),བོད་ཀྱི་ཆོས་སྲིད་ཟུང་འབྲེལ་སྐོར་བཤད་པ,,,bdr:W27311
[P000469](https://github.com/OpenPecha/P000469),ཀུན་ཁྱབ་རྡོ་རྗེ་དྲག་པོ་རྩལ་གྱི་སྤྱན་འདྲེན་བསྐང་བ་ཕྲིན་བཅོལ་དང་བཅས་པ,,,bdr:W1CZ164
[P000470](https://github.com/OpenPecha/P000470),དཀར་ཟས་རིང་ལུགས་ཀྱི་ཕན་ཡོན།,,,bdr:W1KG18533
[P000471](https://github.com/OpenPecha/P000471),ཕྱག་རྡོར་གསོ་རིག་ཕྱོགས་བསྒྲིགས།,,,bdr:W1GS8
[P000472](https://github.com/OpenPecha/P000472),ཤེས་རབ་བློ་ལྡན་གྱི་རྣམ་ཐར་དང་མགུར་འབུམ།,,,bdr:W1KG11691
[P000473](https://github.com/OpenPecha/P000473),བརྒྱད་སྟོང་པ།,,,bdr:W1KG15578
[P000474](https://github.com/OpenPecha/P000474),དེབ་ཐེར་དམར་པོ་,,,bdr:W1KG5760
[P000475](https://github.com/OpenPecha/P000475),སྦས་དོན་གྱི་ཕྱོགས་ཆ།,,,bdr:W1KG14133
[P000476](https://github.com/OpenPecha/P000476),དམྱལ་ཟངས་ནང་ན་ཀུ་རེ་མེད།,,,bdr:W3PD246
[P000477](https://github.com/OpenPecha/P000477),དཔལ་གསང་བའི་སྙིང་པོའི་འགྲེལ་པ་ཕྱོགས་བཅུའི་མུན་སེལ།,,,bdr:W1KG9042
[P000478](https://github.com/OpenPecha/P000478),མགོན་པོ་ཕྱག་དྲུག་པའི་གཏོར་སྒྲུབ་འདོན་བསྒྲིགས་རྗེ་འཇམ་དབྱངས་བཞད་པའི་གསུངས་རྒྱུན་ལྟར་བཀོད་པ,,,bdr:W1CZ1067
[P000479](https://github.com/OpenPecha/P000479),རྫོང་ཁའི་གཏམ་རྒྱུད་སྣ་ཚོགས་དཔེ་ཆ་གསུམ་པ་,,,bdr:W00KG03678
[P000480](https://github.com/OpenPecha/P000480),བོད་ཀྱི་གནའ་རྩོམ་གཅེས་བསྒྲིགས་,,,bdr:W1KG6094
[P000481](https://github.com/OpenPecha/P000481),གངས་ལྗོངས་ལྷ་ཡི་རྔ་སིལ་རབ་དགའ་དགྱེས་པའི་ཆོས་དབྱངས།,,,bdr:W1KG15510
[P000482](https://github.com/OpenPecha/P000482),སངས་རྒྱས་ཆོས་ལུགས་དང་བོད་ཀྱི་རིག་གནས་སྐོར་གླེང་བ།,,,bdr:W1PD105902
[P000483](https://github.com/OpenPecha/P000483),ཀུན་མཁྱེན་པད་དཀར་གྱི་བླ་སྒྲུབ་ཡེ་ཤེས་མཆོག་སྟེར,,,bdr:W23438
[P000484](https://github.com/OpenPecha/P000484),ཕྱུགས་ལས་ཀྱི་རྒྱུན་ཤེས་ཀློག་དེབ།,,,bdr:W8LS20311
[P000485](https://github.com/OpenPecha/P000485),པཎ་ཆེན་སྐུ་ཕྲེང་རིམ་བྱོན་གྱི་མཛད་རྣམ།,,,bdr:W3CN471
[P000486](https://github.com/OpenPecha/P000486),ཉག་བླ་རང་རིག་རྡོ་རྗེའི་རྣམ་ཐར་དང་མགུར་འབུམ,,,bdr:W1GS45961
[P000487](https://github.com/OpenPecha/P000487),འཇའ་ཚོན་པོད་དྲུག,,,bdr:W1KG3655
[P000488](https://github.com/OpenPecha/P000488),དགེ་རྒན་གྱི་སློབ་གསོ།,,,bdr:W2PD19380
[P000489](https://github.com/OpenPecha/P000489),ཐེག་དགུ་སྤྱི་ཆིངས་ཀྱི་རྩ་འགྲེལ།,,,bdr:W3CN487
[P000490](https://github.com/OpenPecha/P000490),ཀྲུང་གོའི་བོད་རིག་པ།（རྒྱ་ཡིག་）,,,bdr:W1PD159529
[P000491](https://github.com/OpenPecha/P000491),དེབ་ཐེར་དམར་པོ་གསར་མ,,,bdr:W21657
[P000492](https://github.com/OpenPecha/P000492),ཐུབ་པའི་གསུང་གི་སྙིང་པོར་གྱུར་པ་ཆེད་དུ་བརྗོད་པའི་ཚོམས་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ།,,,bdr:W1KG16611
[P000493](https://github.com/OpenPecha/P000493),གསུང་འབུམ། པདྨ་ལུང་རྟོགས་རྒྱ་མཚོ,,,bdr:W00EGS1016947
[P000494](https://github.com/OpenPecha/P000494),གསར་བརྗེའི་རྒན་རབས་པ་བདུན་གྱི་གཏམ་རྒྱུད།,,,bdr:W8LS20585
[P000495](https://github.com/OpenPecha/P000495),གསུང་ཐོར་བུ། བློ་བཟང་འོད་ཟེར།,,,bdr:W4CZ65553
[P000496](https://github.com/OpenPecha/P000496),བཞད་གད་ཀྱི་གཏམ།,,,bdr:W21945
[P000497](https://github.com/OpenPecha/P000497),བསྐྱེད་རིམ་སྤྱིའི་རྣམ་བཞག,,,bdr:W27888
[P000498](https://github.com/OpenPecha/P000498),དྲག་པོ་ཡེ་ཤེས་རབ་འབར་གྱི་བསྙེན་ཡིག་དམ་པའི་ཞལ་ལུང་།,,,bdr:W8LS20189
[P000499](https://github.com/OpenPecha/P000499),ཡན་ལག་བརྒྱད་པའི་སྙིང་པོ་བསྡུས་པ,,,bdr:W15588
[P000500](https://github.com/OpenPecha/P000500),གསུང་འབུམ། བློ་གྲོས་རྒྱ་མཚོ།,,,bdr:W8LS18339
[P000501](https://github.com/OpenPecha/P000501),མི་ཡུལ་གྱི་གཏམ་རྒྱུད་།,,,bdr:W1PD105834
[P000502](https://github.com/OpenPecha/P000502),ཕྱག་ཆེན་ལྔ་ལྡན་སོགས་ཀྱི་ཁྲིད་ཡིག་ཟབ་རྒྱས་རིན་ཆེན་ཕྲེང་བ།,,,bdr:W1KG12539
[P000503](https://github.com/OpenPecha/P000503),ཀྲུང་གོ་མི་དམངས་འཐུས་མིའི་ཚོགས་ཆེན་གྱི་ལམ་ལུགས།,,,bdr:W8LS20296
[P000504](https://github.com/OpenPecha/P000504),མན་ངག་རྫོགས་པ་ཆེན་པོའི་གནད་ཐོར་བུ,,,bdr:W1GS60395
[P000505](https://github.com/OpenPecha/P000505),སྒྲོལ་མའི་གཡུལ་མདོས།,,,bdr:W8LS18128
[P000506](https://github.com/OpenPecha/P000506),གྲངས་རིག་བསམ་བློའི་ཐབས་ལམ་རྣམ་བཤད།,,,bdr:W1KG15521
[P000507](https://github.com/OpenPecha/P000507),ཡོན་ཏན་མཛོད་ཀྱི་འགྲེལ་པ་ཉི་ཟླའི་སྒྲོན་མེ། རྩྭ་ར་མཁན་པོ་ཆོས་གྲགས་ཀྱི་མཆན་ཅན།,,,bdr:W2PD17096
[P000507](https://github.com/OpenPecha/P000507),གྲངས་རིག་བསམ་བློའི་ཐབས་ལམ་རྣམ་བཤད།,,,bdr:W1KG15521
[P000508](https://github.com/OpenPecha/P000508),གཡག་ཟེའི་སྐུ་ཆུང་ལྔ་པ་གར་དབང་བསྟན་འཛིན་བཟང་པོའི་གཏེར་ཆོས།,,,bdr:W1PD181172
[P000508](https://github.com/OpenPecha/P000508),ཡོན་ཏན་མཛོད་ཀྱི་འགྲེལ་པ་ཉི་ཟླའི་སྒྲོན་མེ། རྩྭ་ར་མཁན་པོ་ཆོས་གྲགས་ཀྱི་མཆན་ཅན།,,,bdr:W2PD17096
[P000509](https://github.com/OpenPecha/P000509),གཡག་ཟེའི་སྐུ་ཆུང་ལྔ་པ་གར་དབང་བསྟན་འཛིན་བཟང་པོའི་གཏེར་ཆོས།,,,bdr:W1PD181172
[P000509](https://github.com/OpenPecha/P000509),སྐུ་འབུམ་གདན་རབས།,,,bdr:W4CZ74475
[P000510](https://github.com/OpenPecha/P000510),སྐུ་འབུམ་གདན་རབས།,,,bdr:W4CZ74475
[P000510](https://github.com/OpenPecha/P000510),དཔེ་ཝར་མཆོག་སྤྲུལ་འཇམ་དབྱངས་བསོད་ནམས་དབང་པོའི་གསན་ཡིག་འདོད་རྒུའི་བང་མཛོད།,,,bdr:W1KG16713
[P000511](https://github.com/OpenPecha/P000511),གུ་རུ་དྲག་པོ་རྡོ་རྗེ་གྲོ་ལོད་ཀྱི་ཆོས་སྐོར,,,bdr:W30344
[P000511](https://github.com/OpenPecha/P000511),དཔེ་ཝར་མཆོག་སྤྲུལ་འཇམ་དབྱངས་བསོད་ནམས་དབང་པོའི་གསན་ཡིག་འདོད་རྒུའི་བང་མཛོད།,,,bdr:W1KG16713
[P000512](https://github.com/OpenPecha/P000512),གུ་རུ་དྲག་པོ་རྡོ་རྗེ་གྲོ་ལོད་ཀྱི་ཆོས་སྐོར,,,bdr:W30344
[P000512](https://github.com/OpenPecha/P000512),བོད་ཀྱི་དེབ་ཐེར་དཔྱིད་ཀྱི་རྒྱལ་མོའི་གླུ་དབྱངས་,,,bdr:W1KG5761
[P000513](https://github.com/OpenPecha/P000513),བོད་ཀྱི་དེབ་ཐེར་དཔྱིད་ཀྱི་རྒྱལ་མོའི་གླུ་དབྱངས་,,,bdr:W1KG5761
[P000513](https://github.com/OpenPecha/P000513),ཆོས་བདག་བཀའ་འབུམ།,,,bdr:W1KG10580
[P000514](https://github.com/OpenPecha/P000514),ཆོས་བདག་བཀའ་འབུམ།,,,bdr:W1KG10580
[P000514](https://github.com/OpenPecha/P000514),བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེའུར་བྱས་པ།,,,bdr:W1KG18130
[P000515](https://github.com/OpenPecha/P000515),བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེའུར་བྱས་པ།,,,bdr:W1KG18130
[P000515](https://github.com/OpenPecha/P000515),ཐེག་པ་ཆེན་པོ་མདོ་སྡེའི་རྒྱན་ཞེས་བྱ་བའི་ཚིག་ལེའུར་བྱས་པ།,,,bdr:W8LS19963
[P000516](https://github.com/OpenPecha/P000516),ཐེག་པ་ཆེན་པོ་མདོ་སྡེའི་རྒྱན་ཞེས་བྱ་བའི་ཚིག་ལེའུར་བྱས་པ།,,,bdr:W8LS19963
[P000516](https://github.com/OpenPecha/P000516),བསྟན་རྩིས་རེའུ་མིག,,,bdr:W18135
[P000517](https://github.com/OpenPecha/P000517),བསྟན་རྩིས་རེའུ་མིག,,,bdr:W18135
[P000517](https://github.com/OpenPecha/P000517),གནའ་གཏམ་མཐོང་བ་དགའ་སྐྱེད,,,bdr:W21743
[P000518](https://github.com/OpenPecha/P000518),གནའ་གཏམ་མཐོང་བ་དགའ་སྐྱེད,,,bdr:W21743
[P000518](https://github.com/OpenPecha/P000518),མདོ་མང་།,,,bdr:W1KG12536
[P000519](https://github.com/OpenPecha/P000519),མདོ་མང་།,,,bdr:W1KG12536
[P000519](https://github.com/OpenPecha/P000519),མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་བསྡུས་དོན་རིན་པོ་ཆེའི་ཕྲེང་བ།,,,bdr:W1KG12430
[P000520](https://github.com/OpenPecha/P000520),མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་བསྡུས་དོན་རིན་པོ་ཆེའི་ཕྲེང་བ།,,,bdr:W1KG12430
[P000520](https://github.com/OpenPecha/P000520),གནས་ཡིག་ཕྱོགས་བསྒྲིགས,,,bdr:W20828
[P000521](https://github.com/OpenPecha/P000521),གནས་ཡིག་ཕྱོགས་བསྒྲིགས,,,bdr:W20828
[P000521](https://github.com/OpenPecha/P000521),བོད་ཀྱི་མཆོད་བཤད།,,,bdr:W30474
[P000522](https://github.com/OpenPecha/P000522),བོད་ཀྱི་མཆོད་བཤད།,,,bdr:W30474
[P000523](https://github.com/OpenPecha/P000523),ཟབ་དོན་ཐུགས་ཀྱི་སྙིང་པོ་བདུད་ཀྱི་གཅོད་ཡུལ་གྱི་སྐོར།,,,bdr:W1KG9819
[P000524](https://github.com/OpenPecha/P000524),བློ་སྦྱོང་ལེགས་བཤད་ཀུན་འདུས,,,bdr:W1KG3712
[P000525](https://github.com/OpenPecha/P000525),གཏེར་ཆེན་རྡོ་རྗེ་གླིང་པའི་ཟབ་ཆོས་ཕྱོགས་བསྡེབས།,,,bdr:W1KG2118
[P000526](https://github.com/OpenPecha/P000526),ཉེན་མེད་ཐོན་སྐྱེད་བྱེད་ཕྱོགས་སྐོར་གྱི་ཀྲུང་ཧྭ་མི་དམངས་སྤྱི་མཐུན་རྒྱལ་ཁབ་ཀྱི་བཅའ་ཁྲིམས།,,,bdr:W8LS18847
[P000527](https://github.com/OpenPecha/P000527),གསུང་ཐོར་བུ། བློ་གྲོས་དཔལ,,,bdr:W1PD95812
[P000528](https://github.com/OpenPecha/P000528),བྱང་ཆུབ་ལམ་གྱི་རིམ་པའི་ཁྲིད་ཆེན་བརྒྱད་ཕྱོགས་གཅིག་ཏུ་བསྒྲིགས་པ།,,,bdr:W1KG15383
[P000529](https://github.com/OpenPecha/P000529),བཀའ་གདམས་རིན་པོ་ཆེའི་ཆོས་འབྱུང་རྣམ་ཐར་ཉིན་མོར་བྱེད་པའི་འོད་སྟོང་།,,,bdr:W1KG9297
[P000529](https://github.com/OpenPecha/P000529),བྱང་ཆུབ་ལམ་གྱི་རིམ་པའི་ཁྲིད་ཆེན་བརྒྱད་ཕྱོགས་གཅིག་ཏུ་བསྒྲིགས་པ།,,,bdr:W1KG15383
[P000530](https://github.com/OpenPecha/P000530),བཀའ་གདམས་རིན་པོ་ཆེའི་ཆོས་འབྱུང་རྣམ་ཐར་ཉིན་མོར་བྱེད་པའི་འོད་སྟོང་།,,,bdr:W1KG9297
[P000530](https://github.com/OpenPecha/P000530),ཕྱག་རྒྱ་ཆེན་པོའི་སྒྲོས་འབུམ།,,,bdr:W1AC327
[P000531](https://github.com/OpenPecha/P000531),རྒྱུད་བཞིའི་འགྲེལ་བ་མེས་པོའི་ཞལ་ལུང་། སྨད་ཆ།,,,bdr:W8LS19192
[P000531](https://github.com/OpenPecha/P000531),ཕྱག་རྒྱ་ཆེན་པོའི་སྒྲོས་འབུམ།,,,bdr:W1AC327
[P000532](https://github.com/OpenPecha/P000532),རྒྱུད་བཞིའི་འགྲེལ་བ་མེས་པོའི་ཞལ་ལུང་། སྨད་ཆ།,,,bdr:W8LS19192
[P000533](https://github.com/OpenPecha/P000533),ཐུབ་བསྟན་རྡོ་རྗེ་བྲག་དགོན་གྱི་བྱུང་བ་མདོ་ཙམ་བརྗོད་པ་ངོ་མཚར་བཻ་ཌཱུ་རྱའི་ཕྲེང་བ་,,,bdr:W00KG03797
[P000534](https://github.com/OpenPecha/P000534),ཞྭ་ལུའི་ཆོས་སྤྱོད།,,,bdr:W1KG9751
[P000535](https://github.com/OpenPecha/P000535),གསུང་འབུམ། བློ་བཟང་ཚུལ་ཁྲིམས།,,,bdr:W23151
[P000536](https://github.com/OpenPecha/P000536),ཧོར་གྱི་ཆོས་འབྱུང་,,,bdr:W1KG5774
[P000537](https://github.com/OpenPecha/P000537),སྔ་འགྱུར་གཡག་ཟེའི་གཏེར་སྟོན་བདེ་མཆོག་གླིང་པའི་གཏེར་ཆོས།,,,bdr:W1PD181173
[P000538](https://github.com/OpenPecha/P000538),西藏贵族世家 ༡༩༠༠-༡༩༥༡,,,bdr:W2PD17608
[P000539](https://github.com/OpenPecha/P000539),藏事要闻（༡༩༤༩-༢༠༡༡）,,,bdr:W2PD17609
